scenario_id,family_id,t37_family_id,lambda_hours,state_id,systems,omega_union,X_componentwise,exact_or_grid_status,source_support_state_hash,component_state_hashes,chronology_ids,source_support_table_sha256
S1_INSTITUTIONALLY_QUALIFIED_DIRECT,R1_911_LWIN_DIRECT,R1_911_LWIN_COMPONENTWISE,0,911_OPCD_L00_S00001|LWIN_ZERO,"[""911_OPCD"",""LWIN_RADIO""]","[0.0,0.0,0.118720565149,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[[0.0,0.0],[0.0,0.0],[0.118720565149,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0]]",EXACT_FINITE_STATE_SPACE,8e735343aac6142169342014a1dd0160529a0b1504ea2687de6619b8914f4e1f,"[""277637810bc5df3cc23e44f62cd9c634674f2b90c2b7c3d2bef6aaf9d4a2bce6"",""9bb18e5939d2605395d597d87d643c8328440199bbd6233d4cbb2ee73bb4da92""]","[""911_END_00001"",""LWIN_EMPTY""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S1_INSTITUTIONALLY_QUALIFIED_DIRECT,R1_911_LWIN_DIRECT,R1_911_LWIN_COMPONENTWISE,0,911_OPCD_L00_S00002|LWIN_ZERO,"[""911_OPCD"",""LWIN_RADIO""]","[0.0,0.0,0.124476713762,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[[0.0,0.0],[0.0,0.0],[0.124476713762,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0]]",EXACT_FINITE_STATE_SPACE,8631c1c558f0333fa6ceafc08fc84ebe643f0d32a6355b1a59d4792c4c92be33,"[""23230746e7a50c5621ff3718bb98dffba5383e42f80831d6ad6be9ddeb79dd9d"",""9bb18e5939d2605395d597d87d643c8328440199bbd6233d4cbb2ee73bb4da92""]","[""911_END_00003"",""LWIN_EMPTY""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S1_INSTITUTIONALLY_QUALIFIED_DIRECT,R1_911_LWIN_DIRECT,R1_911_LWIN_COMPONENTWISE,0,911_OPCD_L00_S00003|LWIN_ZERO,"[""911_OPCD"",""LWIN_RADIO""]","[0.0,0.0,0.127594627595,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[[0.0,0.0],[0.0,0.0],[0.127594627595,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0]]",EXACT_FINITE_STATE_SPACE,3ec5861c43fdcdff20da434206c3feef04c50884b5bed554fb317ea52debbafb,"[""bdfe15e09bc85349453fc455ce80511ce0f057fedf56fe56eff7bf3678898502"",""9bb18e5939d2605395d597d87d643c8328440199bbd6233d4cbb2ee73bb4da92""]","[""911_END_00004"",""LWIN_EMPTY""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S1_INSTITUTIONALLY_QUALIFIED_DIRECT,R1_911_LWIN_DIRECT,R1_911_LWIN_COMPONENTWISE,0,911_OPCD_L00_S00004|LWIN_ZERO,"[""911_OPCD"",""LWIN_RADIO""]","[0.0,0.0,0.130712541427,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[[0.0,0.0],[0.0,0.0],[0.130712541427,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0]]",EXACT_FINITE_STATE_SPACE,c264d10072f16917024d687ee7e05b0b3b7f48c1d463c3cf4f811531ed985164,"[""40ba7094e2e72ac344f638c468852c9568a875b95e46b26578cd0c0208966616"",""9bb18e5939d2605395d597d87d643c8328440199bbd6233d4cbb2ee73bb4da92""]","[""911_END_00005"",""LWIN_EMPTY""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S1_INSTITUTIONALLY_QUALIFIED_DIRECT,R1_911_LWIN_DIRECT,R1_911_LWIN_COMPONENTWISE,0,911_OPCD_L00_S00005|LWIN_ZERO,"[""911_OPCD"",""LWIN_RADIO""]","[0.0,0.0,0.151120704692,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[[0.0,0.0],[0.0,0.0],[0.151120704692,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0]]",EXACT_FINITE_STATE_SPACE,95a57b425e887aa2372fab54d751659047fe360bba6e0fb930184b9ed2daf597,"[""3452efe3c2ae078a6f8992493adf03f439576effb6ebb5284e54f46c31e2a408"",""9bb18e5939d2605395d597d87d643c8328440199bbd6233d4cbb2ee73bb4da92""]","[""911_END_00006"",""LWIN_EMPTY""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S1_INSTITUTIONALLY_QUALIFIED_DIRECT,R1_911_LWIN_DIRECT,R1_911_LWIN_COMPONENTWISE,0,911_OPCD_L00_S00006|LWIN_ZERO,"[""911_OPCD"",""LWIN_RADIO""]","[0.0,0.0,0.154238618524,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[[0.0,0.0],[0.0,0.0],[0.154238618524,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0]]",EXACT_FINITE_STATE_SPACE,bf9cbe56bf6513e0d054b143494db033cea5b6f60536e256fc8482b857a16b51,"[""d6788095eedaa5c003795607325e61542f22ea4a3be3d23584afd59f04199d5b"",""9bb18e5939d2605395d597d87d643c8328440199bbd6233d4cbb2ee73bb4da92""]","[""911_END_00008"",""LWIN_EMPTY""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S1_INSTITUTIONALLY_QUALIFIED_DIRECT,R1_911_LWIN_DIRECT,R1_911_LWIN_COMPONENTWISE,0,911_OPCD_L00_S00007|LWIN_ZERO,"[""911_OPCD"",""LWIN_RADIO""]","[0.0,0.0,0.158773765917,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[[0.0,0.0],[0.0,0.0],[0.158773765917,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0]]",EXACT_FINITE_STATE_SPACE,fe3e6074bc95fe66abecf393d35e17fea710dd625cbe04cfdd51982268e2011f,"[""161292602375176d5c9e2e148a34cc8b07b43fac64044664af5c39a12ebc70f8"",""9bb18e5939d2605395d597d87d643c8328440199bbd6233d4cbb2ee73bb4da92""]","[""911_END_00009"",""LWIN_EMPTY""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S1_INSTITUTIONALLY_QUALIFIED_DIRECT,R1_911_LWIN_DIRECT,R1_911_LWIN_COMPONENTWISE,0,911_OPCD_L00_S00008|LWIN_ZERO,"[""911_OPCD"",""LWIN_RADIO""]","[0.0,0.0,0.16452991453,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[[0.0,0.0],[0.0,0.0],[0.16452991453,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0]]",EXACT_FINITE_STATE_SPACE,35a1ac8dc1bdc274e19943f7d6fa6bde69cc5c04555cda4e18fe07959e611931,"[""5b66c2740fec9f30415ffe51d64505af1d29edc2f3efe37bdf4ea18dcfa1c185"",""9bb18e5939d2605395d597d87d643c8328440199bbd6233d4cbb2ee73bb4da92""]","[""911_END_00011"",""LWIN_EMPTY""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S1_INSTITUTIONALLY_QUALIFIED_DIRECT,R1_911_LWIN_DIRECT,R1_911_LWIN_COMPONENTWISE,0,911_OPCD_L00_S00009|LWIN_ZERO,"[""911_OPCD"",""LWIN_RADIO""]","[0.0,0.0,0.167647828362,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[[0.0,0.0],[0.0,0.0],[0.167647828362,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0]]",EXACT_FINITE_STATE_SPACE,927f3a5d50c5e9717e751531ca6b6e3e60987b813dea42fa4b5e67583ba8d152,"[""ddea165e2ebdbba4d48b1dfafa735ee7c380096299ea5e3e78695bb4d040e60e"",""9bb18e5939d2605395d597d87d643c8328440199bbd6233d4cbb2ee73bb4da92""]","[""911_END_00013"",""LWIN_EMPTY""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
S1_INSTITUTIONALLY_QUALIFIED_DIRECT,R1_911_LWIN_DIRECT,R1_911_LWIN_COMPONENTWISE,0,911_OPCD_L00_S00010|LWIN_ZERO,"[""911_OPCD"",""LWIN_RADIO""]","[0.0,0.0,0.169915402058,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[[0.0,0.0],[0.0,0.0],[0.169915402058,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0],[0.0,0.0]]",EXACT_FINITE_STATE_SPACE,3586bebfef3241299916fbbe1a3b2ca4f5c82b199411c865cd508799635c29d9,"[""500e3db75c3c3b11eabea03375491a4f8c5a883c36665d855c9d5b2e7aa88665"",""9bb18e5939d2605395d597d87d643c8328440199bbd6233d4cbb2ee73bb4da92""]","[""911_END_00014"",""LWIN_EMPTY""]",9194f12629dfec759f49664e2fbb80675f7855b0022ce8d4eabb5e8ed248dea8
