window_start,bin,common_support_strata,event_coverage,reference_coverage,event_record_count,reference_record_count,weight_vector_hash,schema_era,timestamp_validity
2021-08-29,B1,42,0.927536231884058,0.7540983606557377,276,244,2826894662211b0e65d88c0ac39f0cc19139c5dbdd2a7e97a84e2f16137ef7e4,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2021-08-29,B2,31,0.900593471810089,0.6119402985074627,674,335,69ac24d93ac854f9ee971045699422ace9b0e370a34406af7f038f3dc4863518,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2021-08-29,B3,27,0.7475728155339806,0.5051546391752577,206,291,e0ac160b77a2503b153558c726ada31c30c84f6cdb4a7d13309826d66a2dce30,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2021-08-29,B4,58,0.9191919191919192,0.815242494226328,495,433,aca27a115f9f59d06d8c5e3e1a7f41f738d47b6838a4762963a260fb861f01ed,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2021-08-29,B5,45,0.7661016949152543,0.8379310344827586,295,290,fca0c92b190881389365f474b32d835155646e420828b6d7d0e1920b54a332f8,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2021-08-29,B6,60,0.8728448275862069,0.8123515439429929,464,421,898579515773acaf3e899a114baee7b65552159814ea52963798ded81fe50396,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2021-08-29,B7,40,0.8456591639871383,0.8022388059701493,311,268,a976977eb15426a6804849a50369d4c08ad8c53ac63a86a4fdb687d09ce05918,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2021-08-29,B8,56,0.8512931034482759,0.8364116094986808,464,379,258f7d781a7133b40ed7af91b1a86480b9f6df47ef8d6e89483792798ffb5237,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2021-08-29,B9,39,0.8291666666666667,0.8117647058823529,240,255,54823a5fed4f909574166ec1e0fd8acd6bc93889151408cdca7eb917d480cc14,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2021-08-29,B10,53,0.8344370860927153,0.8509615384615384,453,416,fb4097d8c0023068c48864f38dbdb00f028ed68193ff4c6de13f5527e6e4b31d,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-12,B1,55,0.914364640883978,0.9044943820224719,362,356,1d331cac08b366767bea93f2190c519bfb395faa7f2275286a71c22ffbcfc695,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-12,B2,68,0.9241071428571429,0.9081196581196581,448,468,6988cdf5291efe7917f65b941a72959b08711f693b4e367c7240854a94ffee85,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-12,B3,48,0.8724035608308606,0.8808139534883721,337,344,fa0f1c8b57ee5607c0f7d60db78b70bb1c78993c1c9e62089ec017bdc3243ca7,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-12,B4,66,0.9197207678883071,0.9295774647887324,573,497,b9cc6b55ce4fb36495d1504add23873466bbcf97872ab2cb3a9fae1593d1066b,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-12,B5,61,0.8951406649616368,0.7777777777777778,391,414,1f1f9c097f507484c011844334f1afe1a259f58e42d919a97b96439b33be37cc,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-12,B6,73,0.937037037037037,0.952,540,500,f0a6dd9160d8f0f09f1f257f4031dd9fee80bea6a6c6ff2416e41d2ac7d53226,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-12,B7,58,0.8935483870967742,0.9239766081871345,310,342,430516270b485a27f7adba2849702b03c65682e253da22025b06c7ebf6d1e958,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-12,B8,70,0.9376181474480151,0.9446808510638298,529,470,20dcea91c23be2e1e02ffbfedc16b73be4d826a083212b8c6aeb7d73f0081710,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-12,B9,55,0.9086161879895561,0.8994708994708994,383,378,4405fdace69721814921fe99a0ff315b24a8af63e5358ae34fcf197f707c0d0c,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-12,B10,68,0.9372693726937269,0.9318181818181818,542,572,18e9137ca2d05623e426ccdda76991fe9e97f4a220f02d1be18244f1a8bb7190,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-26,B1,49,0.9325842696629213,0.9169054441260746,356,349,faaec92cd6dddac289a5a7bff93c6dedf6826854d524c0f922ef04c0dd36b151,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-26,B2,68,0.9451697127937336,0.9399585921325052,383,483,07c7881e8985187ba235a55948138ad7537f0f2467f9ad3871577dfe1b6ae42d,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-26,B3,54,0.9132791327913279,0.9349112426035503,369,338,462495e397038e2948a1d60f0af63f5f60279c07c3bf689bdb61daca226a9dba,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-26,B4,66,0.9369565217391305,0.923963133640553,460,434,5fed5201e4b796a110d444f348984e9bfce8d9015125d858deea0488aedd24b6,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-26,B5,55,0.9451219512195121,0.9337349397590361,328,332,d19fc434a8cbaeea7e1791f6e1e4e8f8ecb32b57edda9b406ab69cf0468f37c5,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-26,B6,67,0.9241516966067864,0.9477911646586346,501,498,9fe8e9dbaad19a65a5e02a64678cb15280f20f2fd77dad8834fa21144e61a393,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-26,B7,56,0.889487870619946,0.9072847682119205,371,302,3b80d6ec594a200b1afc48f3460191dea00281b95c35b23bcc97fd74f8b06de0,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-26,B8,73,0.9453441295546559,0.9621052631578947,494,475,658884ea25d7c0dfae94ada594ca164482f7af0b86ad209de3494ce68b090487,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-26,B9,52,0.9084967320261438,0.9074074074074074,306,324,bae2a0d58172fec240f9ae92786f3e34d0ecfdbcbd5ebcbc1dffc0c8f6f2a736,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-01-26,B10,70,0.9636711281070746,0.9484536082474226,523,485,94b79865284f5417c183344d4c92375969bb28d71dc42fc77676ae0ce3590fcc,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-02,B1,54,0.875,0.949438202247191,312,356,9deb4cf6901dbd50a210384688d32b80038b756d2d7002abcd93c71afc05afa2,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-02,B2,65,0.9387755102040817,0.9399477806788512,490,383,32403f967e1d936d0bc89dd3c7631c0a5e21ea642d269439956df29a720cc47c,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-02,B3,52,0.9139240506329114,0.9159891598915989,395,369,41f9d9dc33882b90ef2cfd8714a9444e52ba6c87080957a73cd2ffc3d8e304c8,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-02,B4,69,0.9431192660550459,0.9630434782608696,545,460,ec6bae2331beb231311b58b2198f352a6fdef379e0edeaa898d7fed99411b523,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-02,B5,51,0.9234449760765551,0.899390243902439,418,328,9b0b0071bc54ce281c01b7dc77ec2f5b676bed3ff02166d59caca61c6b0094c8,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-02,B6,70,0.9509632224168126,0.9500998003992016,571,501,07c44c289c38ef62898bd97a2097289d54569ebc4f16f6436c2d76ca1b6f5911,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-02,B7,58,0.9294117647058824,0.8975741239892183,340,371,2df11a046c18994bd0e68a8ceb01624686019b46bbe41cc62d1621162321cf15,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-02,B8,70,0.9656565656565657,0.9331983805668016,495,494,674d86263212fa43e147b79584194ecff63eb08b878463fe002fb976cf9050c6,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-02,B9,52,0.9295774647887324,0.9379084967320261,355,306,aba02fcbf9951f82fc594eabe5e38c26c59149658738c2d131cdc6247c223121,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-02,B10,70,0.9282700421940928,0.9598470363288719,474,523,36ef06bbc112b08c4f7b39c6b9d05eab13b28e83ed463fa43b360495c4b90d88,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-09,B1,60,0.9123711340206185,0.9166666666666666,388,312,5a57ee3893774a884a1e62c42b36415ebe46943668803d648b5f878e8f929e8e,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-09,B2,68,0.94106463878327,0.9489795918367347,526,490,c1b6b7adde164f1ca38b5b52872e50be60623a879ce682a4ab2b6ac38b451eda,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-02-09,B3,54,0.90633608815427,0.9012658227848102,363,395,d7c2f41e4ce687d8767321cf4a9b1232f09e5ce528776c8f4b050f4ce5f700db,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
