bin,q_all_event,q_all_reference,Delta_q_all,event_arrival_observed_mass,reference_arrival_observed_mass
B1,0.939996128395771,0.9536423841059601,-0.013646255710189181,0.7092834126946845,0.8206521739130435
B2,0.695277008530125,0.9533333333333333,-0.2580563248032083,0.3959189558409071,0.7317073170731708
B3,0.6400216306901154,0.8359375,-0.19591586930988458,0.5849496886877357,0.870748299319728
B4,0.8061541072275165,0.9241379310344827,-0.11798382380696626,0.6738821894560244,0.8215297450424929
B5,0.857098938189951,0.9400921658986175,-0.08299322770866657,0.6693428372866432,0.8930041152263374
B6,0.3998807037284797,0.8949152542372881,-0.4950345505088084,0.6620679744180921,0.8625730994152047
B7,0.40590866076243687,0.8882681564245809,-0.48235949566214403,0.7003870699104338,0.8325581395348838
B8,0.6365030295131499,0.9037656903765691,-0.2672626608634192,0.7126582633258645,0.7539432176656151
B9,0.8514699775171485,0.868421052631579,-0.016951075114430503,0.8032091097308489,0.7342995169082125
B10,0.8675849388590285,0.88929889298893,-0.021713954129901403,0.7370162452528655,0.7655367231638418
