bin,disposition,Delta_H01,Delta_H11,product,composition_only_model
B1,GOA,0.008152173913043478,-0.023527197440240927,-0.00019179780521935537,FALSIFIED_FOR_CELL
B1,RTF,-0.021739130434782608,-0.026930704135066735,0.0005854500898927551,NOT_FALSIFIED_BY_SIGN_WITNESS
B1,NAT,0.018103229087210782,-0.05653385157611185,-0.0010234452662647251,FALSIFIED_FOR_CELL
B1,UNF,0.0,0.0,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B1,OTHER,0.0,-0.008893280632411068,-0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B1,MISSING,0.0,0.0,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B2,GOA,0.08099096025925294,-0.10090678517123768,-0.008172537427692684,FALSIFIED_FOR_CELL
B2,RTF,-0.008013937282229964,-0.15073263826642136,0.001207961909452157,NOT_FALSIFIED_BY_SIGN_WITNESS
B2,NAT,0.012302731967911002,-0.19016040005661178,-0.0023394924328072227,FALSIFIED_FOR_CELL
B2,UNF,0.0012195121951219512,0.0,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B2,OTHER,0.0,0.01951219512195122,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B2,MISSING,0.0,0.0,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B3,GOA,0.0011337868480725613,-0.07104853435627125,-8.055389382797186e-05,FALSIFIED_FOR_CELL
B3,RTF,-0.009307171144319795,-0.14271743180030633,0.0013282955630432394,NOT_FALSIFIED_BY_SIGN_WITNESS
B3,NAT,0.0652513377882836,-0.11645208628691675,-0.007598654418457953,FALSIFIED_FOR_CELL
B3,UNF,0.0,0.0,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B3,OTHER,0.010634138712956445,-0.023292650393490728,-0.0002476972752767799,FALSIFIED_FOR_CELL
B3,MISSING,0.0,0.0,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B4,GOA,0.020630735596110557,0.021515757885745695,0.00044388591209075013,NOT_FALSIFIED_BY_SIGN_WITNESS
B4,RTF,0.028661565063831357,-0.24846992295214004,-0.007121536863097926,FALSIFIED_FOR_CELL
B4,NAT,0.011957188231975772,0.007566750959165952,9.047706552323051e-05,NOT_FALSIFIED_BY_SIGN_WITNESS
B4,UNF,0.0,0.0007814789489108138,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B4,OTHER,0.007056859571023876,0.0026520311089074863,1.871501111354686e-05,NOT_FALSIFIED_BY_SIGN_WITNESS
B4,MISSING,0.0,0.0,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B5,GOA,0.056021116514943674,-0.0291737282158738,-0.001634344827556766,FALSIFIED_FOR_CELL
B5,RTF,-0.007693243325427233,-0.17334416761832686,0.0013335788605314325,NOT_FALSIFIED_BY_SIGN_WITNESS
B5,NAT,-0.011467018704140883,-0.05369304709449452,0.0006156991753148859,NOT_FALSIFIED_BY_SIGN_WITNESS
B5,UNF,0.005291005291005292,0.0,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B5,OTHER,0.0,-0.009602194787379972,-0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B5,MISSING,0.0,0.0,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B6,GOA,0.1196665851787696,-0.07410308239787991,-0.008867662821775278,FALSIFIED_FOR_CELL
B6,RTF,0.05279473051571909,-0.201984126984127,-0.010663697552579768,FALSIFIED_FOR_CELL
B6,NAT,0.13567716464750004,-0.22086048952434584,-0.02996572500132213,FALSIFIED_FOR_CELL
B6,UNF,0.0,0.0,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B6,OTHER,-0.0014619883040935672,-0.01023391812865497,1.4961868609144692e-05,NOT_FALSIFIED_BY_SIGN_WITNESS
B6,MISSING,0.0,0.0,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B7,GOA,0.060964797476425386,-0.023358501963153117,-0.0014240463415363146,FALSIFIED_FOR_CELL
B7,RTF,0.0639137712872323,-0.19263565891472867,-0.01231207144564126,FALSIFIED_FOR_CELL
B7,NAT,0.1927435627867624,-0.22064289411758636,-0.04252749751580598,FALSIFIED_FOR_CELL
B7,UNF,0.0,0.0,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B7,OTHER,0.0054485049833887045,-0.018604651162790697,-0.00010136753457467357,FALSIFIED_FOR_CELL
B7,MISSING,0.0,0.0,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B8,GOA,0.06697887728015012,0.061749479757521875,0.004135910826792172,NOT_FALSIFIED_BY_SIGN_WITNESS
B8,RTF,0.024689181666357397,-0.1438666181298694,-0.0035519490707328124,FALSIFIED_FOR_CELL
B8,NAT,0.09225564835855,-0.12895398495855553,-0.011896733490770245,FALSIFIED_FOR_CELL
B8,UNF,0.0012618296529968455,-0.0005257623554153525,-6.634225304925584e-07,FALSIFIED_FOR_CELL
B8,OTHER,0.0013083777059987231,-0.01618198331748533,-2.1172146211441063e-05,FALSIFIED_FOR_CELL
B8,MISSING,0.0,0.0,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B9,GOA,0.018081435472739823,0.10369220151828851,0.001874903850779268,NOT_FALSIFIED_BY_SIGN_WITNESS
B9,RTF,-0.009661835748792268,-0.06060884901464611,0.0005855927441028608,NOT_FALSIFIED_BY_SIGN_WITNESS
B9,NAT,0.011847250977685762,0.03051913196840733,0.0003615678160508346,NOT_FALSIFIED_BY_SIGN_WITNESS
B9,UNF,0.0,0.00644122383252818,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B9,OTHER,0.0024154589371980675,-0.033816425120772944,-8.168218628206025e-05,FALSIFIED_FOR_CELL
B9,MISSING,0.0,0.0,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B10,GOA,0.0096045197740113,-0.06374200411730677,-0.0006122113389797826,FALSIFIED_FOR_CELL
B10,RTF,0.005885122410546138,-0.041393481193723325,-0.00024360570382370126,FALSIFIED_FOR_CELL
B10,NAT,-0.002643353719374422,0.07012465113826055,-0.00018536425740615483,FALSIFIED_FOR_CELL
B10,UNF,0.0,0.0014124293785310734,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B10,OTHER,0.0,-0.0077683615819209035,-0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
B10,MISSING,0.0,0.0,0.0,NOT_FALSIFIED_BY_SIGN_WITNESS
