bin,disposition,status,event_m,reference_m,q_event,q_reference,Delta_H11,MASS_COMPONENT_11,WITHIN_DISPOSITION_COMPONENT_11,identity_residual_11,Delta_H01,MASS_COMPONENT_01,WITHIN_DISPOSITION_COMPONENT_01,identity_residual_01
B1,GOA,DEFINED,0.15310323734236778,0.16847826086956522,0.9467537456780637,1.0,-0.023527197440240927,-0.014965692320729985,-0.008561505119510945,3.469446951953614e-18,0.008152173913043478,-0.00040933120646745454,0.008561505119510945,-1.214306433183765e-17
B1,RTF,DEFINED,0.1741562523866724,0.22282608695652173,1.0,0.9024390243902439,-0.026930704135066735,-0.046295696298149364,0.01936499216308264,-1.0408340855860843e-17,-0.021739130434782608,-0.002374138271699967,-0.01936499216308264,-3.469446951953614e-18
B1,NAT,DEFINED,0.38004763838066413,0.41847826086956524,0.9094650947973151,0.961038961038961,-0.05653385157611185,-0.035942317616901164,-0.02059153395921069,3.469446951953614e-18,0.018103229087210782,-0.002488304871999945,0.02059153395921069,3.8163916471489756e-17
B1,UNF,NOT_DEFINED_IN_CELL,0.0,0.0,,,0.0,,,,0.0,,,
B1,OTHER,DEFINED,0.001976284584980237,0.010869565217391304,1.0,1.0,-0.008893280632411068,-0.008893280632411068,0.0,0.0,0.0,-0.0,-0.0,0.0
B1,MISSING,NOT_DEFINED_IN_CELL,0.0,0.0,,,0.0,,,,0.0,,,
B2,GOA,DEFINED,0.19471832142947867,0.2146341463414634,0.5840609159699155,1.0,-0.10090678517123768,-0.015773939926187502,-0.08513284524505017,0.0,0.08099096025925294,-0.004141884985797235,0.08513284524505017,0.0
B2,RTF,DEFINED,0.026619278109885274,0.18536585365853658,0.7513002031120076,0.9210526315789475,-0.15073263826642136,-0.13274014280813445,-0.017992495458286923,1.734723475976807e-17,-0.008013937282229964,-0.026006432740516873,0.017992495458286923,-1.3877787807814457e-17
B2,NAT,DEFINED,0.15384964898446996,0.33170731707317075,0.7932076719065266,0.9411764705882353,-0.19016040005661178,-0.15423675957706964,-0.035923640479542135,0.0,0.012302731967911002,-0.02362090851163114,0.035923640479542135,6.938893903907228e-18
B2,UNF,NOT_DEFINED_IN_CELL,0.0012195121951219512,0.0,0.0,,0.0,,,,0.0012195121951219512,,,
B2,OTHER,NOT_DEFINED_IN_CELL,0.01951219512195122,0.0,1.0,,0.01951219512195122,,,,0.0,,,
B2,MISSING,NOT_DEFINED_IN_CELL,0.0,0.0,,,0.0,,,,0.0,,,
B3,GOA,DEFINED,0.12056144296799179,0.19047619047619047,0.821319738856328,0.8928571428571429,-0.07104853435627125,-0.05992312193469433,-0.011125412421576917,3.469446951953614e-18,0.0011337868480725613,-0.009991625573504342,0.011125412421576917,-1.3877787807814457e-17
B3,RTF,DEFINED,0.1268869616812242,0.2789115646258503,0.75167538911167,0.8536585365853658,-0.14271743180030633,-0.12202512632381489,-0.020692305476491413,-2.42861286636753e-17,-0.009307171144319795,-0.02999947662081122,0.020692305476491413,1.0408340855860843e-17
B3,NAT,DEFINED,0.32294891136531245,0.37414965986394555,0.5451788636520397,0.7818181818181819,-0.11645208628691675,-0.033971620991775,-0.08248046529514175,0.0,0.0652513377882836,-0.017229127506858097,0.08248046529514175,-5.551115123125783e-17
B3,UNF,NOT_DEFINED_IN_CELL,0.0,0.0,,,0.0,,,,0.0,,,
B3,OTHER,DEFINED,0.014552372673207213,0.027210884353741496,0.26925052348781164,1.0,-0.023292650393490728,-0.008033411288547359,-0.015259239104943369,0.0,0.010634138712956445,-0.004625100391986925,0.015259239104943369,1.734723475976807e-18
B3,MISSING,NOT_DEFINED_IN_CELL,0.0,0.0,,,0.0,,,,0.0,,,
B4,GOA,DEFINED,0.23478105438837182,0.1926345609065156,0.875929856259482,0.9558823529411764,0.021515757885745695,0.0386022306675301,-0.017086472781784417,1.0408340855860843e-17,0.020630735596110557,0.0035442628143261237,0.017086472781784417,1.734723475976807e-17
B4,RTF,DEFINED,0.11163640131849016,0.33144475920679883,0.6163807637379773,0.9572649572649573,-0.24846992295214004,-0.1729502409158093,-0.07551968203633075,0.0,0.028661565063831357,-0.04685811697249937,0.07551968203633075,-2.7755575615628914e-17
B4,NAT,DEFINED,0.3028100581713117,0.28328611898017,0.8295391995863043,0.86,0.007566750959165952,0.016493230296886617,-0.00892647933772066,-5.204170427930421e-18,0.011957188231975772,0.0030307088942550884,0.00892647933772066,2.42861286636753e-17
B4,UNF,NOT_DEFINED_IN_CELL,0.0007814789489108138,0.0,1.0,,0.0007814789489108138,,,,0.0,,,
B4,OTHER,DEFINED,0.02387319662893986,0.014164305949008499,0.7044024023800264,1.0,0.0026520311089074863,0.008273928299660031,-0.005621897190752544,-8.673617379884035e-19,0.007056859571023876,0.0014349623802713315,0.005621897190752544,8.673617379884035e-19
B4,MISSING,NOT_DEFINED_IN_CELL,0.0,0.0,,,0.0,,,,0.0,,,
B5,GOA,DEFINED,0.15030417842252666,0.12345679012345678,0.627281708979106,1.0,-0.0291737282158738,0.021844131956468046,-0.05101786017234183,-1.3877787807814457e-17,0.056021116514943674,0.005003256342601837,0.05101786017234183,0.0
