bin,disposition,q_event,q_reference,Delta_q,status
B1,GOA,0.9467537456780637,1.0,-0.053246254321936304,DEFINED
B1,RTF,1.0,0.9024390243902439,0.09756097560975607,DEFINED
B1,NAT,0.9094650947973151,0.961038961038961,-0.05157386624164595,DEFINED
B1,UNF,,,,NOT_DEFINED_IN_CELL
B1,OTHER,1.0,1.0,0.0,DEFINED
B1,MISSING,,,,NOT_DEFINED_IN_CELL
B2,GOA,0.5840609159699155,1.0,-0.4159390840300845,DEFINED
B2,RTF,0.7513002031120076,0.9210526315789475,-0.16975242846693983,DEFINED
B2,NAT,0.7932076719065266,0.9411764705882353,-0.14796879868170865,DEFINED
B2,UNF,0.0,,,NOT_DEFINED_IN_CELL
B2,OTHER,1.0,,,NOT_DEFINED_IN_CELL
B2,MISSING,,,,NOT_DEFINED_IN_CELL
B3,GOA,0.821319738856328,0.8928571428571429,-0.07153740400081487,DEFINED
B3,RTF,0.75167538911167,0.8536585365853658,-0.10198314747369586,DEFINED
B3,NAT,0.5451788636520397,0.7818181818181819,-0.23663931816614214,DEFINED
B3,UNF,,,,NOT_DEFINED_IN_CELL
B3,OTHER,0.26925052348781164,1.0,-0.7307494765121884,DEFINED
B3,MISSING,,,,NOT_DEFINED_IN_CELL
B4,GOA,0.875929856259482,0.9558823529411764,-0.07995249668169435,DEFINED
B4,RTF,0.6163807637379773,0.9572649572649573,-0.34088419352697996,DEFINED
B4,NAT,0.8295391995863043,0.86,-0.0304608004136957,DEFINED
B4,UNF,1.0,,,NOT_DEFINED_IN_CELL
B4,OTHER,0.7044024023800264,1.0,-0.2955975976199736,DEFINED
B4,MISSING,,,,NOT_DEFINED_IN_CELL
B5,GOA,0.627281708979106,1.0,-0.37271829102089404,DEFINED
B5,RTF,0.9646792963903796,0.9605263157894737,0.0041529806009059644,DEFINED
B5,NAT,0.9217335425826594,0.9074074074074074,0.014326135175251942,DEFINED
B5,UNF,0.0,,,NOT_DEFINED_IN_CELL
B5,OTHER,1.0,1.0,0.0,DEFINED
B5,MISSING,,,,NOT_DEFINED_IN_CELL
B6,GOA,0.5203683280658875,0.9605263157894737,-0.44015798772358616,DEFINED
B6,RTF,0.376486554667342,0.9431818181818182,-0.5666952635144762,DEFINED
B6,NAT,0.2938629623493908,0.8253968253968254,-0.5315338630474346,DEFINED
B6,UNF,,,,NOT_DEFINED_IN_CELL
B6,OTHER,0.5,0.8,-0.30000000000000004,DEFINED
B6,MISSING,,,,NOT_DEFINED_IN_CELL
B7,GOA,0.6579099391207212,0.923076923076923,-0.26516698395620186,DEFINED
B7,RTF,0.41750620958538937,0.8769230769230769,-0.45941686733768755,DEFINED
B7,NAT,0.2240216850148673,0.8732394366197184,-0.6492177516048511,DEFINED
B7,UNF,,,,NOT_DEFINED_IN_CELL
B7,OTHER,0.0,1.0,-1.0,DEFINED
B7,MISSING,,,,NOT_DEFINED_IN_CELL
B8,GOA,0.7635782255520627,1.0,-0.23642177444793733,DEFINED
B8,RTF,0.5926835996281862,0.8690476190476191,-0.2763640194194329,DEFINED
B8,NAT,0.5279085183284878,0.8787878787878788,-0.35087936045939094,DEFINED
B8,UNF,0.6756756756756757,1.0,-0.32432432432432434,DEFINED
B8,OTHER,0.677249726300182,1.0,-0.322750273699818,DEFINED
B8,MISSING,,,,NOT_DEFINED_IN_CELL
B9,GOA,0.8898354533784572,0.9166666666666666,-0.026831213288209477,DEFINED
B9,RTF,0.8439692891934286,0.8490566037735849,-0.005087314580156321,DEFINED
B9,NAT,0.8231834334027692,0.8392857142857144,-0.016102280882945186,DEFINED
B9,UNF,1.0,,,NOT_DEFINED_IN_CELL
B9,OTHER,0.0,1.0,-1.0,DEFINED
B9,MISSING,,,,NOT_DEFINED_IN_CELL
B10,GOA,0.9458903140852934,1.0,-0.05410968591470655,DEFINED
B10,RTF,0.8969357502403176,0.9340659340659341,-0.0371301838256165,DEFINED
B10,NAT,0.8043551627142898,0.7446808510638299,0.05967431165045989,DEFINED
B10,UNF,1.0,,,NOT_DEFINED_IN_CELL
B10,OTHER,1.0,1.0,0.0,DEFINED
B10,MISSING,,,,NOT_DEFINED_IN_CELL
