type_code,present_2025,present_2026,text_hashes_2025,text_hashes_2026,semantic_hash_set_stable,rows_2025,rows_2026
100,True,True,6dc98da111426e562cf7a0adb87eeee786d326f47925a7527fe40a7f8581710c,6dc98da111426e562cf7a0adb87eeee786d326f47925a7527fe40a7f8581710c,True,6412,4042
100C,True,True,bd5394c7992e11ecef7173dde75ca2a0734c35d9bfb2d2dd2dd88e81f68093aa,bd5394c7992e11ecef7173dde75ca2a0734c35d9bfb2d2dd2dd88e81f68093aa,True,34,31
100F,True,True,cb881a2c2c274d0b01e49a73a1c68fbe2b82372292e98ac2519cc8c3e31c9c20,cb881a2c2c274d0b01e49a73a1c68fbe2b82372292e98ac2519cc8c3e31c9c20,True,12,3
100I,True,True,7d155e92e5a4041be3147ee1b03a4c9db13bf328a20d8619147a542719f8ba8f,7d155e92e5a4041be3147ee1b03a4c9db13bf328a20d8619147a542719f8ba8f,True,865,621
100X,True,True,f6faf6a2017573ced2b66602f9cd46825d4e1d15e5bb4c54163335493b7224d3,f6faf6a2017573ced2b66602f9cd46825d4e1d15e5bb4c54163335493b7224d3,True,7,6
102,True,True,595570e57e3cd0164e140395277ee2ce187d0a0839ecad79e798984ed3960462,595570e57e3cd0164e140395277ee2ce187d0a0839ecad79e798984ed3960462,True,126,97
1028,True,True,6cf191574852ebb7287549fa88e9e5d260c792ae1caf4fdfc87ba78698a4119e,6cf191574852ebb7287549fa88e9e5d260c792ae1caf4fdfc87ba78698a4119e,True,6,8
1028NP,True,True,a101b4acdea8708355173edcd92a8d5ec5088a2e46c4971399a7e240e33a455e,a101b4acdea8708355173edcd92a8d5ec5088a2e46c4971399a7e240e33a455e,True,191,112
1028P,True,True,08163c0b2a347d7b783826af29d38b5f363feab602d7311423213b81416897f7,08163c0b2a347d7b783826af29d38b5f363feab602d7311423213b81416897f7,True,13,7
103,True,True,79c4daf74825eb0c333c4c5dc663107fa223b31df52098f888ba2fd51547e987,79c4daf74825eb0c333c4c5dc663107fa223b31df52098f888ba2fd51547e987,True,23641,15143
103D,True,True,deb940ac0ba350231bfbedd40cc48d696f75fdd88737a0ba8da69639468d4d02,deb940ac0ba350231bfbedd40cc48d696f75fdd88737a0ba8da69639468d4d02,True,8568,5489
103F,True,True,23b6a8f399dd913a23fa046fad13ffcb478f75d55795feb487bc851ea983ae78,23b6a8f399dd913a23fa046fad13ffcb478f75d55795feb487bc851ea983ae78,True,1734,968
103M,True,True,604f097e92a3c0ba652e94baf5a42f347b326529a0dc26b8935fb943ba8915e9,604f097e92a3c0ba652e94baf5a42f347b326529a0dc26b8935fb943ba8915e9,True,5137,2930
103MV,True,True,01d84ee3e08b1a50bd185f644caa4ac3a2c7cac9d2ec5feda9ff3060044d4e49,01d84ee3e08b1a50bd185f644caa4ac3a2c7cac9d2ec5feda9ff3060044d4e49,True,32,17
103P,True,True,23e6783b47f8e8fedc54116d1d0e310fadb9dcca633866c9bcc60f9f6f3d88cf,23e6783b47f8e8fedc54116d1d0e310fadb9dcca633866c9bcc60f9f6f3d88cf,True,178,43
1055,True,True,4f0e23b97d1911866e626d1ea6e4e38c6a7e09c09434d0c1748721acfee3658a,4f0e23b97d1911866e626d1ea6e4e38c6a7e09c09434d0c1748721acfee3658a,True,5,10
1055E,True,True,7678465cee92a8bff39affb8169feb488728f1017648a3942ba766dc1a129af0,7678465cee92a8bff39affb8169feb488728f1017648a3942ba766dc1a129af0,True,16,13
1055F,True,True,3848e848087cb038eb165da9e67fa9446b532be935108423afd0702d72cdb080,3848e848087cb038eb165da9e67fa9446b532be935108423afd0702d72cdb080,True,7,2
106,True,True,efc55c5e1d69f3d114059d4838bff1a9285d123b643a38759b82c9e6a5501165,efc55c5e1d69f3d114059d4838bff1a9285d123b643a38759b82c9e6a5501165,True,289,146
107,True,True,dfd04c55545b9f2e27c913384dfea23e8a2d64603adb41700af69d993dabb191,dfd04c55545b9f2e27c913384dfea23e8a2d64603adb41700af69d993dabb191,True,8337,5331
107P,True,True,0ee982d4c49e1bc72049bd66c69c2d274a4b786aefbf7cd50f2f376e45742056,0ee982d4c49e1bc72049bd66c69c2d274a4b786aefbf7cd50f2f376e45742056,True,44,19
107S,True,True,0ee982d4c49e1bc72049bd66c69c2d274a4b786aefbf7cd50f2f376e45742056,0ee982d4c49e1bc72049bd66c69c2d274a4b786aefbf7cd50f2f376e45742056,True,14,4
108,True,True,2d51ed9a49a33ad3a3581986f6c43cc07fba88bbea40a99ddd29cee890697d98,2d51ed9a49a33ad3a3581986f6c43cc07fba88bbea40a99ddd29cee890697d98,True,9,4
110,True,True,382ce16b68a4748c7ded908c6a51203168f8846a7b2ccef1526ed4fe9de7cc76,382ce16b68a4748c7ded908c6a51203168f8846a7b2ccef1526ed4fe9de7cc76,True,1,4
112,True,True,04e3c9a72f0bea62713ff0a9abfe38faa3e8f85244b100cbaab0105049dd48e7,04e3c9a72f0bea62713ff0a9abfe38faa3e8f85244b100cbaab0105049dd48e7,True,2,6
118,True,True,716e0a6d772a3d0022be0b701470f1e0d30aca3f6770ccb4ff0bc52acc287e3f,716e0a6d772a3d0022be0b701470f1e0d30aca3f6770ccb4ff0bc52acc287e3f,True,1,1
17,True,True,602a5e69c3021bdbd3d25156a02d2cbb467605b8203248eea6af3fb42168d663,602a5e69c3021bdbd3d25156a02d2cbb467605b8203248eea6af3fb42168d663,True,40,44
17F,True,True,7a351868582ecadc87adf888e3d7c3bae2f0b81883cde21dfcec5cb1093273db,7a351868582ecadc87adf888e3d7c3bae2f0b81883cde21dfcec5cb1093273db,True,798,547
17J,True,True,1c39b2864011b1222631737ccdbccea268de14dab7e754e6704be62707b9b877,1c39b2864011b1222631737ccdbccea268de14dab7e754e6704be62707b9b877,True,46,73
17M,True,True,7f4ca0af328ec837c4faa5d57fe8b1f494ed989a6202289af2e8c4f0488b0d34,7f4ca0af328ec837c4faa5d57fe8b1f494ed989a6202289af2e8c4f0488b0d34,True,1785,1276
17R,True,True,e11842ac6ffcbf79baf870c913bd306af081306ddedca9f68a43fa43a7463685,e11842ac6ffcbf79baf870c913bd306af081306ddedca9f68a43fa43a7463685,True,32,32
17T,True,True,de7ac9dcc2ecb3fcc4a19b3e06e6394eb7c9a464acaad3ad10f1bba1bc7c9e66,de7ac9dcc2ecb3fcc4a19b3e06e6394eb7c9a464acaad3ad10f1bba1bc7c9e66,True,637,643
18,True,True,c8bfa9694566996db59734ef967054cc524521b8047131b7fd06e7e662ce317a,c8bfa9694566996db59734ef967054cc524521b8047131b7fd06e7e662ce317a,True,16929,12357
18A,True,True,7996b0f681c418dc8e5a11a79fd4705475966e2d1eb34be5a85285a10d9723b4,7996b0f681c418dc8e5a11a79fd4705475966e2d1eb34be5a85285a10d9723b4,True,972,503
