year,field,rows,nonmissing,missing,nonmissing_rate
2025,NOPD_Item,329770,329770,0,1.0
2025,Type,329770,329770,0,1.0
2025,TypeText,329770,329770,0,1.0
2025,Priority,329770,329770,0,1.0
2025,InitialType,329770,329770,0,1.0
2025,InitialTypeText,329770,329770,0,1.0
2025,InitialPriority,329770,329770,0,1.0
2025,MapX,329770,329770,0,1.0
2025,MapY,329770,329770,0,1.0
2025,TimeCreate,329770,329770,0,1.0
2025,TimeDispatch,329770,137829,191941,0.41795493829032354
2025,TimeArrive,329770,276083,53687,0.8371986536070595
2025,TimeClosed,329770,329770,0,1.0
2025,Disposition,329770,329770,0,1.0
2025,DispositionText,329770,329770,0,1.0
2025,SelfInitiated,329770,329770,0,1.0
2025,Beat,329770,329770,0,1.0
2025,BLOCK_ADDRESS,329770,329770,0,1.0
2025,Zip,329770,329770,0,1.0
2025,PoliceDistrict,329770,329770,0,1.0
2025,Location,329770,329770,0,1.0
2026,NOPD_Item,209829,209829,0,1.0
2026,Type,209829,209829,0,1.0
2026,TypeText,209829,209829,0,1.0
2026,Priority,209829,209829,0,1.0
2026,InitialType,209829,209829,0,1.0
2026,InitialTypeText,209829,209829,0,1.0
2026,InitialPriority,209829,209829,0,1.0
2026,MapX,209829,209829,0,1.0
2026,MapY,209829,209829,0,1.0
2026,TimeCreate,209829,209829,0,1.0
2026,TimeDispatch,209829,87867,121962,0.41875527215017944
2026,TimeArrive,209829,176560,33269,0.8414470831010012
2026,TimeClosed,209829,209829,0,1.0
2026,Disposition,209829,209829,0,1.0
2026,DispositionText,209829,209829,0,1.0
2026,SelfInitiated,209829,209829,0,1.0
2026,Beat,209829,209829,0,1.0
2026,BLOCK_ADDRESS,209829,209828,1,0.9999952342145271
2026,Zip,209829,209829,0,1.0
2026,PoliceDistrict,209829,209829,0,1.0
2026,Location,209829,209829,0,1.0
