window_start,raw_max_cell,event_n,reference_n,frozen_context_excluded,episode,prespecified_universes,both_sides_after_change
2020-01-05,,356,0,False,,,False
2020-01-12,0.09291111724518664,4415,4341,False,,FULL_QUALIFIED_REFERENCE,False
2020-01-19,0.059919351770837306,4020,4415,True,,,False
2020-01-26,0.058257564824168884,4091,4020,False,,FULL_QUALIFIED_REFERENCE,False
2020-02-02,0.08229865027309169,4395,4091,False,,FULL_QUALIFIED_REFERENCE,False
2020-02-09,0.12833863583456195,4376,4395,False,,FULL_QUALIFIED_REFERENCE,False
2020-02-16,0.10297466632376562,4143,4376,False,,FULL_QUALIFIED_REFERENCE,False
2020-02-23,0.10290987352221469,5226,4143,True,,,False
2020-03-01,0.21458510337015002,4103,5226,False,,FULL_QUALIFIED_REFERENCE,False
2020-03-08,0.08511167023887178,4047,4103,False,,FULL_QUALIFIED_REFERENCE,False
2020-03-15,0.07418540963057008,3841,4047,False,,FULL_QUALIFIED_REFERENCE,False
2020-03-22,0.08820637399502573,3356,3841,False,,FULL_QUALIFIED_REFERENCE,False
2020-03-29,0.05787441316434594,3792,3356,False,,FULL_QUALIFIED_REFERENCE,False
2020-04-05,0.07499999999999996,3745,3792,False,,FULL_QUALIFIED_REFERENCE,False
2020-04-12,0.07679889298892983,3525,3745,True,,,False
2020-04-19,0.07530364372469633,3292,3525,False,,FULL_QUALIFIED_REFERENCE,False
2020-04-26,0.0834414518625045,3254,3292,False,,FULL_QUALIFIED_REFERENCE,False
2020-05-03,0.07905810001618385,3300,3254,False,,FULL_QUALIFIED_REFERENCE,False
2020-05-10,0.08225398528510117,3256,3300,False,,FULL_QUALIFIED_REFERENCE,False
2020-05-17,0.08420882257732265,3486,3256,False,,FULL_QUALIFIED_REFERENCE,False
2020-05-24,0.11994977069229096,3324,3486,True,,,False
2020-05-31,0.09437386569872963,3323,3324,False,,FULL_QUALIFIED_REFERENCE,False
2020-06-07,0.33308361666570624,3431,3323,False,,FULL_QUALIFIED_REFERENCE,False
2020-06-14,0.33966556419253563,3454,3431,False,,FULL_QUALIFIED_REFERENCE,False
2020-06-21,0.07512787723785164,3569,3454,False,,FULL_QUALIFIED_REFERENCE,False
2020-06-28,0.054861488321564345,3769,3569,False,,FULL_QUALIFIED_REFERENCE,False
2020-07-05,0.12150359314538417,3784,3769,False,,FULL_QUALIFIED_REFERENCE,False
2020-07-12,0.14146933819064966,3495,3784,False,,FULL_QUALIFIED_REFERENCE,False
2020-07-19,0.08437884378843796,3266,3495,False,,FULL_QUALIFIED_REFERENCE,False
2020-07-26,0.08448401162790697,3373,3266,False,,FULL_QUALIFIED_REFERENCE,False
2020-08-02,0.07470196091930292,3596,3373,False,,FULL_QUALIFIED_REFERENCE,False
2020-08-09,0.08395166419334321,3614,3596,False,,FULL_QUALIFIED_REFERENCE,False
2020-08-16,0.05831974439539171,3515,3614,False,,FULL_QUALIFIED_REFERENCE,False
2020-08-23,0.08351235230934484,3316,3515,True,Hurricane Laura,,False
2020-08-30,0.11320237050043891,3394,3316,False,,FULL_QUALIFIED_REFERENCE,False
2020-09-06,0.07681052401269006,3338,3394,True,,,False
2020-09-13,0.06533362178199464,3373,3338,False,,FULL_QUALIFIED_REFERENCE,False
2020-09-20,0.10495900424775262,3508,3373,False,,FULL_QUALIFIED_REFERENCE,False
2020-09-27,0.08682097884999385,3636,3508,False,,FULL_QUALIFIED_REFERENCE,False
2020-10-04,0.0824113475177305,3578,3636,False,,FULL_QUALIFIED_REFERENCE,False
2020-10-11,0.09126525899043214,3707,3578,False,,FULL_QUALIFIED_REFERENCE,False
2020-10-18,0.0785542061082336,3638,3707,False,,FULL_QUALIFIED_REFERENCE,False
2020-10-25,0.1294054531683918,3963,3638,True,Hurricane Zeta,,False
2020-11-01,0.1549009542215244,3752,3963,False,,FULL_QUALIFIED_REFERENCE,False
2020-11-08,0.06167813187327442,3847,3752,False,,FULL_QUALIFIED_REFERENCE,False
2020-11-15,0.05757575757575757,3648,3847,False,,FULL_QUALIFIED_REFERENCE,False
2020-11-22,0.1036438253948514,3515,3648,True,,,False
2020-11-29,0.08397798660505684,3444,3515,False,,FULL_QUALIFIED_REFERENCE,False
2020-12-06,0.09346713892168446,3426,3444,False,,FULL_QUALIFIED_REFERENCE,False
2020-12-13,0.09640636573814287,3222,3426,False,,FULL_QUALIFIED_REFERENCE,False
2020-12-20,0.07406452647739514,3568,3222,True,,,False
2020-12-27,0.08561208120517028,3475,3568,True,,,False
2021-01-03,0.1403535507467235,3273,3475,False,,FULL_QUALIFIED_REFERENCE,False
2021-01-10,0.08393665158371033,3216,3273,False,,FULL_QUALIFIED_REFERENCE,False
2021-01-17,0.11021386663302002,3069,3216,True,,,False
2021-01-24,0.06787126932758002,3320,3069,False,,FULL_QUALIFIED_REFERENCE,False
2021-01-31,0.14579008729775078,3408,3320,False,,FULL_QUALIFIED_REFERENCE,False
2021-02-07,0.11171208654046183,3329,3408,False,,FULL_QUALIFIED_REFERENCE,False
2021-02-14,0.11309181521947487,2851,3329,True,February freeze,,False
2021-02-21,0.10301132975551575,3399,2851,False,,FULL_QUALIFIED_REFERENCE,False
2021-02-28,0.0594215861657722,3323,3399,False,,FULL_QUALIFIED_REFERENCE,False
2021-03-07,0.07128205128205134,3478,3323,False,,FULL_QUALIFIED_REFERENCE,False
2021-03-14,0.07081657280772324,3537,3478,False,,FULL_QUALIFIED_REFERENCE,False
2021-03-21,0.07417170844137133,3138,3537,False,,FULL_QUALIFIED_REFERENCE,False
2021-03-28,0.07522344721201402,3759,3138,False,,FULL_QUALIFIED_REFERENCE,False
2021-04-04,0.08441692466460271,3807,3759,True,,,False
2021-04-11,0.09196710942441488,3672,3807,False,,FULL_QUALIFIED_REFERENCE,False
