universe,statistic,Ida_value,max_reference,Ida_rank,denominator_including_Ida
FULL_QUALIFIED_REFERENCE,M_max_cell,0.5071816170350076,0.3282019628990655,1,218
FULL_QUALIFIED_REFERENCE,A,0.5071816170350076,0.3282019628990655,1,218
FULL_QUALIFIED_REFERENCE,sigma_1,1.0837038277988178,0.6010799318390331,1,218
FULL_QUALIFIED_REFERENCE,sigma_2,0.26225450013178025,0.2450582795759221,1,218
FULL_QUALIFIED_REFERENCE,sigma_3,0.08578943193642428,0.11118930052780068,11,218
FULL_QUALIFIED_REFERENCE,U_direct,0.42228762837232003,0.3282019628990655,1,218
FULL_QUALIFIED_REFERENCE,U_full,0.25073449467090003,0.21251620085921322,1,218
FULL_QUALIFIED_REFERENCE,Q,0.4943682622739723,0.9408198256798859,147,218
FULL_QUALIFIED_REFERENCE,D,0.171553143701418,0.28352276620045463,4,218
STAGE_ERA_MATCHED_REFERENCE,M_max_cell,0.5071816170350076,0.3282019628990655,1,154
STAGE_ERA_MATCHED_REFERENCE,A,0.5071816170350076,0.3282019628990655,1,154
STAGE_ERA_MATCHED_REFERENCE,sigma_1,1.0837038277988178,0.6010799318390331,1,154
STAGE_ERA_MATCHED_REFERENCE,sigma_2,0.26225450013178025,0.2450582795759221,1,154
STAGE_ERA_MATCHED_REFERENCE,sigma_3,0.08578943193642428,0.11118930052780068,11,154
STAGE_ERA_MATCHED_REFERENCE,U_direct,0.42228762837232003,0.3282019628990655,1,154
STAGE_ERA_MATCHED_REFERENCE,U_full,0.25073449467090003,0.21251620085921322,1,154
STAGE_ERA_MATCHED_REFERENCE,Q,0.4943682622739723,0.9408198256798859,100,154
STAGE_ERA_MATCHED_REFERENCE,D,0.171553143701418,0.28352276620045463,4,154
SAME_SEASON_STAGE_REFERENCE,M_max_cell,0.5071816170350076,0.25819042480763554,1,87
SAME_SEASON_STAGE_REFERENCE,A,0.5071816170350076,0.25819042480763554,1,87
SAME_SEASON_STAGE_REFERENCE,sigma_1,1.0837038277988178,0.46205931782480897,1,87
SAME_SEASON_STAGE_REFERENCE,sigma_2,0.26225450013178025,0.2182623916435397,1,87
SAME_SEASON_STAGE_REFERENCE,sigma_3,0.08578943193642428,0.11118930052780068,8,87
SAME_SEASON_STAGE_REFERENCE,U_direct,0.42228762837232003,0.20571914736674463,1,87
SAME_SEASON_STAGE_REFERENCE,U_full,0.25073449467090003,0.16061973900038762,1,87
SAME_SEASON_STAGE_REFERENCE,Q,0.4943682622739723,0.9408198256798859,59,87
SAME_SEASON_STAGE_REFERENCE,D,0.171553143701418,0.15764183545431165,1,87
