date,initiation_stream,raw_J00,aggregate_J00,difference_J00,raw_J10,aggregate_J10,difference_J10,raw_J01,aggregate_J01,difference_J01,raw_J11,aggregate_J11,difference_J11,parity_status
2021-07-25,non_officer,90,90,0,99,99,0,0,0,0,532,532,0,MATCH
2021-07-25,officer,0,0,0,0,0,0,0,0,0,377,377,0,MATCH
2021-07-26,non_officer,70,70,0,98,98,0,0,0,0,565,565,0,MATCH
2021-07-26,officer,0,0,0,0,0,0,0,0,0,404,404,0,MATCH
2021-07-27,non_officer,73,73,0,73,73,0,0,0,0,585,585,0,MATCH
2021-07-27,officer,0,0,0,0,0,0,0,0,0,479,479,0,MATCH
2021-07-28,non_officer,77,77,0,41,41,0,34,34,0,468,468,0,MATCH
2021-07-28,officer,0,0,0,0,0,0,345,345,0,230,230,0,MATCH
2021-07-29,non_officer,87,87,0,47,47,0,69,69,0,463,463,0,MATCH
2021-07-29,officer,0,0,0,0,0,0,499,499,0,5,5,0,MATCH
2021-07-30,non_officer,98,98,0,48,48,0,65,65,0,494,494,0,MATCH
2021-07-30,officer,0,0,0,0,0,0,545,545,0,3,3,0,MATCH
2021-07-31,non_officer,96,96,0,57,57,0,45,45,0,527,527,0,MATCH
2021-07-31,officer,0,0,0,0,0,0,388,388,0,1,1,0,MATCH
