year,initiation_stream,n,dispatch_share,arrival_share,j01_share,j01_given_arrival
2020,non_officer_self_initiated,271868,0.9033501552223874,0.8007415363338091,0.0,0.0
2021,non_officer_self_initiated,258160,0.8453749612643322,0.7829834211341804,0.03326619150914162,0.042486457070769534
2022,non_officer_self_initiated,243179,0.7450067645643744,0.7241168028489302,0.08513481838481118,0.11757056050883072
2023,non_officer_self_initiated,225389,0.692513831642183,0.7224132499811438,0.12457573350962114,0.1724438657691741
2024,non_officer_self_initiated,212314,0.6537534029786072,0.7424993170492761,0.16536827529037182,0.22271842073545922
2020,officer_initiated,161024,0.9998509538950715,0.9998074821144675,0.0,0.0
2021,officer_initiated,170155,0.6167082953777439,0.9996179953571743,0.38293908495195556,0.3830854253630431
2022,officer_initiated,111028,0.009700255791331916,0.999234427351659,0.989588211982563,0.9903463940942646
2023,officer_initiated,99702,0.011975687548895709,0.9986760546428356,0.986890934986259,0.9881992568042584
2024,officer_initiated,115382,0.010729576537068174,0.9983012948293495,0.9878317241857482,0.9895126143802199
