bin,coordinate,point,bootstrap_p025,bootstrap_p975,event_n,reference_n,event_coverage,reference_coverage
B1,J01,0.004516272565471647,-0.030205949656750573,0.03923849478769387,276,244,0.927536231884058,0.7540983606557377
B1,J10,0.05394627794144292,0.009039499268539822,0.09876867096818932,276,244,0.927536231884058,0.7540983606557377
B1,J11,-0.1158850337838306,-0.19604359644276237,-0.035375868948477274,276,244,0.927536231884058,0.7540983606557377
B2,J01,0.08649926714005592,0.035215665502115946,0.14884844391553786,674,335,0.900593471810089,0.6119402985074627
B2,J10,0.05805029642559482,-0.0044657231144569045,0.1322966529180904,674,335,0.900593471810089,0.6119402985074627
B2,J11,-0.42228762837231976,-0.508939284586716,-0.3326626390768893,674,335,0.900593471810089,0.6119402985074627
B3,J01,0.06771209220499283,0.0010285515620925628,0.13334196329578105,206,291,0.7475728155339806,0.5051546391752577
B3,J10,0.08376971478246471,0.021161754931857797,0.14446990482016564,206,291,0.7475728155339806,0.5051546391752577
B3,J11,-0.3535107028369851,-0.4312804388628426,-0.2740908648310489,206,291,0.7475728155339806,0.5051546391752577
B4,J01,0.06830634846294156,0.022699276999822812,0.11351994737703444,495,433,0.9191919191919192,0.815242494226328
B4,J10,0.05373224663007888,0.011861820270606761,0.09737715253861794,495,433,0.9191919191919192,0.815242494226328
B4,J11,-0.21595390404941014,-0.27829145639277053,-0.15270471168590494,495,433,0.9191919191919192,0.815242494226328
B5,J01,0.04215185977638085,-0.0003204862794049658,0.08353848239331425,295,290,0.7661016949152543,0.8379310344827586
B5,J10,0.13088920996541262,0.08650410017587541,0.17518079367536582,295,290,0.7661016949152543,0.8379310344827586
B5,J11,-0.26581313771607507,-0.33267429269877125,-0.19706058648161676,295,290,0.7661016949152543,0.8379310344827586
B6,J01,0.30667649203789515,0.25534669094179524,0.3578998330780185,464,421,0.8728448275862069,0.8123515439429929
B6,J10,0.04415498886535223,0.007815593765976694,0.08252232075501792,464,421,0.8728448275862069,0.8123515439429929
B6,J11,-0.5071816170350076,-0.5649118469890372,-0.4499840471685007,464,421,0.8728448275862069,0.8123515439429929
B7,J01,0.32307063653380874,0.259660402177322,0.3862073531004161,311,268,0.8456591639871383,0.8022388059701493
B7,J10,-0.011393412788761628,-0.04816233766233766,0.02545876991225829,311,268,0.8456591639871383,0.8022388059701493
B7,J11,-0.45524170615825876,-0.5234009565066335,-0.3835551084042875,311,268,0.8456591639871383,0.8022388059701493
B8,J01,0.18649391466405307,0.12139403932420108,0.2458440800798315,464,379,0.8512931034482759,0.8364116094986808
B8,J10,0.0009570323538513593,-0.034149045312204106,0.03489588701314722,464,379,0.8512931034482759,0.8364116094986808
B8,J11,-0.22777886900380373,-0.2971402049854358,-0.15028584165176959,464,379,0.8512931034482759,0.8364116094986808
B9,J01,0.02268230963883138,-0.026512920788283108,0.06966566981059741,240,255,0.8291666666666667,0.8117647058823529
B9,J10,-0.07701863354037265,-0.11835921325051758,-0.03408730158730157,240,255,0.8291666666666667,0.8117647058823529
B9,J11,0.046227283183804944,-0.03397697645886052,0.12466595736523274,240,255,0.8291666666666667,0.8117647058823529
B10,J01,0.012846288465183018,-0.02722550426193346,0.05445739700217033,453,416,0.8344370860927153,0.8509615384615384
B10,J10,0.05078926373908423,0.008252150225933312,0.10317750059306792,453,416,0.8344370860927153,0.8509615384615384
B10,J11,-0.041366766376159395,-0.12225497126810583,0.03641594386459544,453,416,0.8344370860927153,0.8509615384615384
