date,initiation_stream,rows,dispatch_nonblank,dispatch_parseable,arrival_nonblank,arrival_parseable,arrival_valid_ge_create,J00,J10,J01,J11
2021-07-25,non_officer,721,631,631,532,532,532,90,99,0,532
2021-07-25,officer,377,377,377,377,377,377,0,0,0,377
2021-07-26,non_officer,733,663,663,565,565,565,70,98,0,565
2021-07-26,officer,404,404,404,404,404,404,0,0,0,404
2021-07-27,non_officer,731,658,658,585,585,585,73,73,0,585
2021-07-27,officer,479,479,479,479,479,479,0,0,0,479
2021-07-28,non_officer,620,509,509,502,502,502,77,41,34,468
2021-07-28,officer,575,230,230,575,575,575,0,0,345,230
2021-07-29,non_officer,666,510,510,532,532,532,87,47,69,463
2021-07-29,officer,504,5,5,504,504,504,0,0,499,5
2021-07-30,non_officer,705,542,542,559,559,559,98,48,65,494
2021-07-30,officer,548,3,3,548,548,548,0,0,545,3
2021-07-31,non_officer,725,584,584,572,572,572,96,57,45,527
2021-07-31,officer,389,1,1,389,389,389,0,0,388,1
