rank,window_start,U_full_lower,U_full_upper
1,2020-03-29,0.021599980791116413,0.021599990791116457
2,2020-11-08,0.021837304294556763,0.022893564213453295
3,2021-04-11,0.028108823291080047,0.028108833291079882
4,2020-01-26,0.028240482559302914,0.028240492559302808
5,2021-05-16,0.028047221074182914,0.028260376008023225
6,2020-08-16,0.027431028526321944,0.029193344726079998
7,2021-02-28,0.02922650233742667,0.029226512337426618
8,2020-04-05,0.02925122490647694,0.029620362886119148
9,2021-06-13,0.030100710112439952,0.030100720112439767
10,2022-10-30,0.02613485714280434,0.03284295787763194
11,2021-05-09,0.033114870794925914,0.03311488079492592
12,2020-05-03,0.03332583755128766,0.033325847551287646
13,2021-04-18,0.03135172445266755,0.035041481110419714
14,2021-11-14,0.03535302210938903,0.03535303210938863
15,2020-05-17,0.03598260068008132,0.03598261068008136
16,2021-03-28,0.036532755354376896,0.03653276535437663
17,2020-12-13,0.03678129964225379,0.03678130964225376
18,2024-10-27,0.037178283051898714,0.0371782930518988
19,2020-10-11,0.03755967142221198,0.037559681422211944
20,2021-04-25,0.031715506712142585,0.037923604986891075
21,2024-07-28,0.039991925889320816,0.03999193588932057
22,2023-10-08,0.0401847950856076,0.04018480508560753
23,2020-03-22,0.04024636304147452,0.04024637304147416
24,2023-11-05,0.04055069178531027,0.040550701785310055
25,2020-03-08,0.04062749243237936,0.04062750243237933
26,2022-05-08,0.040767304038248846,0.040767314038248695
27,2023-02-05,0.04149633106662392,0.041496341066623726
28,2024-06-23,0.04187818426368133,0.04187819426368124
29,2020-07-26,0.03730328223864469,0.04193675282855955
30,2020-10-04,0.04200795969197283,0.04200796969197274
31,2021-10-17,0.03869825437629865,0.042026840036497204
32,2021-09-12,0.04141078320611626,0.042482108397435055
33,2020-03-15,0.04287606743820533,0.04287607743820529
34,2020-11-15,0.04361335479041498,0.04361336479041494
35,2021-11-07,0.043957418267478184,0.04395742826747814
36,2022-11-06,0.04042922425048844,0.044067027484365
37,2021-08-15,0.04410000820017836,0.0441000182001783
38,2021-10-03,0.036832464791192225,0.04449079630088845
39,2020-04-19,0.04501379988788824,0.04501380988788836
40,2024-05-19,0.03327118594660685,0.04517053492188795
41,2021-10-31,0.04522401366894372,0.04522402366894368
42,2023-01-29,0.04552872938592618,0.045528739385926026
43,2021-06-06,0.04624319531630409,0.04624320531630393
44,2022-06-05,0.04624831926888077,0.04624832926887986
45,2023-04-23,0.03882969710478313,0.0463710168231682
46,2022-04-24,0.046412835417220306,0.04641284541722027
47,2022-05-01,0.027685509737114245,0.04682627494370663
48,2020-06-21,0.04476046089905428,0.04733746564595105
49,2021-03-07,0.031817859636574505,0.0483617506733183
50,2020-02-09,0.04855646824972918,0.04855647824972903
51,2022-10-02,0.031093765893306355,0.048688303608700925
52,2024-04-14,0.047951148262851344,0.04874888749379143
53,2021-09-19,0.049421095354654734,0.04942110535465465
54,2020-09-27,0.04971566131604132,0.049715671316041356
55,2021-05-23,0.04980338166543106,0.04980339166543082
56,2020-08-02,0.05005981483511872,0.05005982483511862
57,2021-05-02,0.04097418090878689,0.05007811842762418
58,2024-11-17,0.050454577882177574,0.050454587882177576
59,2023-04-30,0.04432247504053303,0.05053745541278713
60,2020-03-01,0.02137890906357895,0.05078929099041424
61,2023-03-12,0.03542942888486823,0.05090992724054918
62,2021-06-27,0.05141649393493924,0.051416503934939246
63,2024-12-08,0.050248867640938284,0.05169044097288543
64,2020-04-26,0.05224754099300182,0.05224755099300187
65,2020-08-30,0.05233549996401952,0.05243428099238641
66,2022-12-11,0.039955353592533854,0.05255457173142009
67,2023-05-07,0.03985618353453558,0.05309032111046605
68,2024-10-20,0.026959647838298427,0.05331819380678952
69,2022-03-20,0.05337374182181204,0.05337375182181189
70,2021-12-05,0.053791055594547284,0.05379106559454733
71,2021-10-10,0.05390389559889993,0.0539039055988997
72,2021-10-24,0.044927926386287155,0.05393523097682105
73,2024-08-18,0.053972656823672936,0.05397266682367298
74,2022-06-12,0.04244685069967757,0.054124788844261154
75,2022-04-03,0.04073115126022219,0.0542288741408225
76,2023-02-12,0.054351825181001276,0.05435183518100093
77,2022-01-09,0.05541312153812397,0.055413131538124015
78,2024-07-07,0.0554133439073524,0.055413353907352414
79,2021-03-21,0.05546450154313417,0.05546451154313401
80,2024-03-10,0.055820949441838796,0.055820959441838694
81,2020-10-18,0.05588884663610432,0.05588885663610426
82,2021-12-12,0.029040902275113353,0.056070956490434254
83,2022-11-13,0.057061756221673574,0.05706176622167275
84,2023-08-13,0.0524355821355019,0.05786321317571318
85,2021-02-07,0.0584077025856543,0.058407712585654276
86,2021-02-21,0.05844363099339129,0.05844364099339121
87,2022-01-30,0.058754187834205114,0.058754197834205005
88,2021-03-14,0.05882562249979658,0.05882563249979656
89,2022-02-06,0.058826808822433276,0.05882681882243304
90,2022-03-06,0.05271212564033816,0.059023789592503526
91,2022-02-13,0.04490553140663201,0.05910040320102154
92,2021-05-30,0.0593811261134427,0.05938113611344277
93,2024-07-14,0.04808660670706472,0.059387745244726176
94,2023-05-28,0.059672041770062134,0.059672051770061144
95,2021-06-20,0.05970198260442785,0.05970199260442763
96,2023-06-25,0.05474734152244781,0.05981625230671659
97,2024-03-24,0.03939565832185809,0.060117464850145394
98,2023-08-06,0.060190596351809574,0.060190606351809076
99,2020-06-28,0.060205936008229766,0.06020594600822965
100,2024-10-13,0.04664214377101512,0.06048586399826071
101,2020-11-29,0.06094555552009382,0.06094556552009361
102,2022-03-27,0.05993027267463339,0.06109600141220458
103,2021-07-25,0.06132888021810761,0.061328890218107154
104,2023-06-11,0.04986885801091335,0.06147428370218039
105,2020-07-19,0.06157055890993774,0.061570568909937715
106,2020-07-12,0.023906589044838132,0.06158823598604107
107,2020-12-06,0.06172729481617192,0.061727304816171766
108,2023-08-27,0.0617755812633732,0.061775591263373224
109,2024-12-15,0.06177775019968707,0.061777760199687115
110,2021-01-10,0.020107581121749908,0.061843015525597435
111,2020-01-12,0.06206394173832167,0.062063951738321514
112,2023-06-04,0.03531167347582186,0.06213036006814612
113,2023-09-17,0.05289323359758968,0.06243816267964834
114,2020-09-13,0.062459369579835916,0.062459379579836063
115,2020-05-10,0.031247498108721572,0.06250842040889144
116,2024-02-25,0.06250972248630163,0.06250973248630148
117,2021-07-18,0.0625670689733238,0.06256707897332375
118,2022-10-23,0.06281020018802981,0.06281021018802974
119,2023-10-29,0.06283751249183564,0.0628375224918348
120,2024-06-16,0.06312133592050143,0.06312134592050123
121,2024-03-17,0.059187007719377384,0.06314623031903041
122,2022-09-18,0.04602912906173035,0.0635483017909862
123,2023-07-30,0.0516511632528354,0.0635506928874276
124,2022-01-02,0.04524529627115822,0.0636097035941829
125,2021-08-08,0.023856984470572076,0.06361353548615443
126,2024-03-03,0.06369981277055067,0.06369982277055067
127,2023-03-05,0.03859085902214874,0.06408223186245615
128,2022-10-16,0.06409665722166713,0.06409666722166724
129,2023-01-22,0.028519023418387447,0.06412770534939488
130,2023-10-15,0.06415968390619749,0.06415969390619741
131,2020-02-16,0.06472973339996528,0.06472974339996501
132,2024-06-02,0.054375796390770816,0.06479001886509901
133,2020-09-20,0.06489489719051635,0.06489490719051633
134,2023-09-10,0.03965281521247079,0.06530803513616013
135,2022-08-07,0.06564457043138067,0.06564458043138055
136,2022-02-27,0.06583710117031807,0.06583711117031736
137,2023-07-09,0.06589975331074233,0.06589976331074157
138,2024-09-22,0.03450853473050293,0.06594295269465934
139,2024-11-10,0.047650966547495316,0.06605708952818759
140,2022-04-10,0.06614829447720777,0.06614830447720763
141,2023-11-12,0.06650494460881932,0.06650495460881935
142,2021-08-22,0.06666005731366226,0.06666006731366211
143,2022-02-20,0.066868282484709,0.06686829248470828
144,2024-08-04,0.06852911379768517,0.06852912379768475
145,2023-04-02,0.06861627086196591,0.06861628086196551
146,2023-08-20,0.04807574805990243,0.0687973595399144
147,2022-03-13,0.042273126835444534,0.06907410678402412
148,2020-02-02,0.06947369089006371,0.06947370089006363
149,2024-09-15,0.054914100183661795,0.06953943492405032
150,2023-01-08,0.06959255197179487,0.06959256197179489
151,2024-12-29,0.0,0.07000058356676009
152,2021-01-24,0.07072839384466545,0.07072840384466551
153,2021-07-11,0.07146683697616392,0.07146684697616316
154,2024-11-03,0.07164036268140068,0.07164037268140042
155,2021-11-28,0.07181596038133972,0.07181597038133965
156,2021-12-26,0.07220259334331766,0.0722026033433177
157,2024-07-21,0.07232191845873065,0.07232192845873064
158,2020-05-31,0.07250954505433808,0.07250955505433801
159,2020-06-07,0.07263711011524579,0.07263712011524551
160,2024-04-07,0.07296205573955267,0.07296206573955273
161,2022-01-23,0.05039858493256088,0.07326594345825116
162,2021-09-26,0.07327607604450115,0.07327608604450093
163,2023-07-23,0.07448785602155433,0.07448786602155397
164,2024-04-21,0.0755411777563102,0.07554118775631033
165,2023-12-03,0.0758703603703709,0.07587037037037035
166,2023-07-16,0.05619800685921546,0.07617896492269768
167,2024-02-18,0.07667054324480829,0.07667055324480751
168,2024-06-09,0.07673801829949095,0.07673802829949083
169,2023-12-17,0.07742465130549195,0.0774246613054918
170,2022-09-11,0.07874969872401341,0.07874970872401339
171,2020-07-05,0.025782856006505418,0.07923109559269792
172,2023-03-26,0.03853501074813879,0.07934284709064567
173,2021-12-19,0.07961390468682349,0.07961391468682326
174,2022-12-18,0.07968127635112704,0.07968128635112708
175,2021-08-01,0.04807731191243296,0.08008104256284773
